SGP_VRaw,SGP_NRaw,SGP_Vin,SGP_Nin,STC_CO2,STC_Temp,ENS_VOC,MiCO,MiNO2,MiNH3,GMVOC,GMODO,GMSMO,GMETH,GMH2S,Label
19482,8217,100,1,-8.42,0,53,4235,13202,260,1484,32767,13357,14072,18736,3
19472,8221,100,1,-8.39,0,50,4243,13200,261,1483,32767,13353,14036,18739,3
19482,8218,100,1,-8.36,0,64,4234,13200,260,1483,32767,13352,14011,18741,3
19465,8225,100,1,-8.62,0,49,4230,13201,260,1483,32767,13347,13978,18743,3
19480,8221,100,1,-8.61,0,52,4222,13201,260,1482,32767,13344,13946,18743,3
19480,8217,100,1,-8.47,0,51,4224,13197,260,1482,32767,13339,13923,18743,3
19477,8224,100,1,-8.37,0,54,4223,13196,260,1482,32767,13339,13905,18744,3
19472,8224,100,1,-8.51,0,56,4230,13194,260,1482,32767,13338,13903,18747,3
19464,8224,100,1,-8.61,0,55,4237,13194,260,1482,32767,13335,13900,18746,3
19472,8219,100,1,-8.46,0,56,4250,13191,260,1482,32767,13332,13904,18746,3
19462,8219,100,1,-8.66,0,53,4250,13193,260,1483,32767,13333,13902,18750,3
19468,8222,100,1,-8.39,0,54,4251,13195,261,1483,32767,13331,13890,18748,3
19468,8228,100,1,-8.63,0,46,4247,13195,261,1483,32767,13330,13897,18750,3
19457,8225,100,1,-8.41,0,52,4252,13197,261,1483,32767,13330,13910,18752,3
19468,8226,100,1,-8.76,0,58,4272,13199,261,1484,32767,13326,13920,18750,3
19476,8224,100,1,-8.51,0,50,4284,13202,261,1485,32767,13327,13942,18758,3
19478,8225,100,1,-8.58,0,54,4287,13207,261,1486,32767,13334,13957,18759,3
19478,8222,100,1,-8.69,0,45,4299,13210,262,1486,32767,13331,13978,18761,3
19483,8223,100,1,-8.73,0,50,4305,13216,262,1487,32767,13340,14000,18762,3
19482,8220,100,1,-8.53,0,50,4307,13219,262,1488,32767,13338,13999,18766,3
19472,8224,100,1,-8.6,0,51,4307,13223,262,1489,32767,13338,14005,18771,3
19489,8227,100,1,-8.69,0,58,4307,13226,262,1489,32767,13345,14018,18778,3
19490,8223,100,1,-8.49,0,56,4310,13229,262,1489,32767,13348,14031,18774,3
19482,8225,100,1,-8.75,0,50,4311,13233,262,1490,32767,13350,14045,18781,3
19482,8224,100,1,-8.65,0,50,4321,13237,263,1491,32767,13348,14060,18781,3
19486,8228,100,1,-8.43,0,50,4319,13239,263,1491,32767,13353,14062,18785,3
19485,8225,100,1,-8.73,0,46,4312,13242,263,1491,32767,13355,14078,18788,3
